id	target_family	evidence	production_exercised	default_ci	production_path	oracle_path	cargo_target	cargo_test	source_locator	source	shared_code	claim
projective-p2-line-localization	projective_space	independent_algorithm	yes	yes	projective S/R stable-graph reconstruction	legacy stable-map fixed-locus localization	lib	testsuite::tests::builtin_suite_passes	src/testsuite.rs::test_p2_degree_one_line	Atiyah-Bott stable-map localization	conventions_only	Genus-zero degree-one primary value agrees across independent algorithms.
projective-zinger-three-point	projective_space	independent_formula	yes	yes	projective S/R stable-graph reconstruction	Zinger generating-function extraction	lib	testsuite::tests::builtin_suite_passes	src/testsuite.rs::test_zinger_projective_cross_checks	arXiv:1106.1633 Theorems 2 and 4	conventions_only	Selected genus-zero descendants agree with an independently implemented published formula.
projective-growi-fast-positive-genus	projective_space	external_golden	yes	yes	projective S/R stable-graph reconstruction	recorded Growi 1.0.3 output	lib	validation_backends::growi::tests::sr_graph_matches_fast_positive_genus_growi_cases	src/validation_backends/growi.rs::sr_graph_matches_fast_positive_genus_growi_cases	isolated Growi 1.0.3 commands recorded with each row	none	Two positive-genus projective invariants agree with external executable output.
projective-growi-disputed-descendants	projective_space	external_golden	yes	yes	projective S/R stable-graph reconstruction	recorded Growi 1.0.3 output	lib	validation_backends::growi::tests::sr_graph_matches_growi_disputed_descendants	src/validation_backends/growi.rs::sr_graph_matches_growi_disputed_descendants	isolated Growi 1.0.3 commands recorded with each row	none	Three disputed genus-two P2 descendants agree with external executable output.
projective-growi-heavy-inventory	projective_space	oracle_inventory	no	yes	not run against production in default tests	recorded Growi 1.0.3 output	lib	testsuite::tests::builtin_suite_passes	src/testsuite.rs::test_growi_oracle_constants	isolated Growi 1.0.3 commands recorded with each row	none	Five heavier Growi rows are stored but currently only inventory-checked.
projective-plane-conic-seed	projective_space	shared_production	no	yes	projective production seed fallback	projective production seed formula	lib	testsuite::tests::builtin_suite_passes	src/testsuite.rs::test_p2_conic_count	Kontsevich plane-curve recursion	same_seed	The conic seed test protects seed drift but does not cross-check the S/R engine.
negative-local-p2-table	negative_split_projective	external_golden	yes	no	negative-split hypergeometric Birkhoff plus S/R graphs	fixed local-P2 GW table	test:verified_examples	twisted_local_p2_matches_published_higher_genus_grid	tests/verified_examples.rs::twisted_local_p2_matches_published_higher_genus_grid	Coates-Iritani arXiv:1804.03292 Appendix C Tables 2 and 3	none	Eight higher-genus local-P2 values agree with a published table in scheduled acceptance CI.
negative-conifold-closed-form	negative_split_projective	closed_form	yes	yes	negative-split hypergeometric Birkhoff plus S/R graphs	GV multiple-cover closed formula	lib	spaces::negative_split_projective::tests::negative_split_compute_matches_resolved_conifold_closed_formula	src/spaces/negative_split_projective/tests.rs::negative_split_compute_matches_resolved_conifold_closed_formula	resolved-conifold GV invariant n_0,1=1	none	Five higher-genus conifold values agree with the multiple-cover formula.
negative-o1-p2-recorded-unsourced	negative_split_projective	unsourced_golden	yes	yes	negative-split hypergeometric Birkhoff plus S/R graphs	recorded constants from an unavailable localization derivation	lib	spaces::negative_split_projective::tests::o_minus_one_p2_birkhoff_graph_matches_recorded_unsourced_row	src/spaces/negative_split_projective/tests.rs::o_minus_one_p2_birkhoff_graph_matches_recorded_unsourced_row	original localization source and command were not archived	none	Three genus-two O(-1) over P2 constants are regression fixtures and are not counted as independently sourced validation.
bundle-f1-fixed-tree	projective_bundle	independent_algorithm	yes	yes	bundle I-function Birkhoff ray interpolation plus S/R graphs	validation-only toric fixed-tree localization	lib	spaces::projective_bundle::provider::tests::f1_exceptional_section_matches_independent_fixed_tree_localization	src/spaces/projective_bundle/provider.rs::f1_exceptional_section_matches_independent_fixed_tree_localization	toric stable-map localization	target_theory_data	The F1 exceptional-section invariant agrees across independent algorithms.
